city1,city2,Year,quarter,fare
"Portland, OR","Washington, DC (Metropolitan Area)",2025,3,319.87
"Houston, TX","Minneapolis/St. Paul, MN",2025,3,253.68
"Detroit, MI","Nashville, TN",2025,3,203.09
"Atlanta, GA (Metropolitan Area)","St. Louis, MO",2025,3,202.34
"Columbus, OH","Los Angeles, CA (Metropolitan Area)",2025,3,259.13
"Nashville, TN","San Francisco, CA (Metropolitan Area)",2025,3,315.98
"Las Vegas, NV","Nashville, TN",2025,3,252.03
"Denver, CO","San Antonio, TX",2025,3,196.17
"New Orleans, LA","Orlando, FL",2025,3,158.87
"Portland, ME","Washington, DC (Metropolitan Area)",2025,3,247.14
"Portland, OR","Sacramento, CA",2025,3,186.98
"Denver, CO","Milwaukee, WI",2025,3,206.93
"Austin, TX","Nashville, TN",2025,3,163.7
"Miami, FL (Metropolitan Area)","Minneapolis/St. Paul, MN",2025,3,225.98
"Charlotte, NC","Detroit, MI",2025,3,212.11
"Detroit, MI","Philadelphia, PA",2025,3,221.84
"Indianapolis, IN","Miami, FL (Metropolitan Area)",2025,3,175.05
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2025,3,320.75
"Nashville, TN","Phoenix, AZ",2025,3,248.53
"Milwaukee, WI","New York City, NY (Metropolitan Area)",2025,3,305.38
"Charlotte, NC","Las Vegas, NV",2025,3,290.36
"Nantucket, MA","New York City, NY (Metropolitan Area)",2025,3,277.76
"Las Vegas, NV","St. Louis, MO",2025,3,245.3
"Chicago, IL","San Antonio, TX",2025,3,240.73
"Boston, MA (Metropolitan Area)","Richmond, VA",2025,3,178.99
"Chicago, IL","Hartford, CT",2025,3,232.12
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2025,3,180.32
"Columbus, OH","Washington, DC (Metropolitan Area)",2025,3,204.19
"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA",2025,3,256.94
"Atlanta, GA (Metropolitan Area)","Indianapolis, IN",2025,3,229.9
"Boston, MA (Metropolitan Area)","Columbus, OH",2025,3,242.24
"Philadelphia, PA","Raleigh/Durham, NC",2025,3,198.93
"Fort Myers, FL","Minneapolis/St. Paul, MN",2025,3,173.01
"New York City, NY (Metropolitan Area)","Rochester, NY",2025,3,163.53
"Dallas/Fort Worth, TX","El Paso, TX",2025,3,221.77
